date,precip_mm,slr_m,oni_anom,precip_z,slr_z,oni_z,stress,obs_proxy
2006-12-01,55.5,0.019,-0.84,-0.5672663071358752,-0.5647107668897066,-1.0032386128757582,-0.08642779907412601,0.45689337915259415
2007-01-01,21.1,-0.01,0.66,-0.9796510069657691,-0.8474751476453032,0.8051639194069418,0.396615743070682,0.6885247718154776
2007-02-01,42.4,-0.088,0.22,-0.7243081550362128,-1.6080138269189772,0.27469917660401644,-0.06531023523678345,0.4673912326399994
2007-03-01,25.1,-0.032,-0.12,-0.9316992976832233,-1.0619860571840318,-0.13520539738006226,0.12021275221038971,0.5598185054769904
2007-04-01,30.3,-0.023,-0.32,-0.8693620756159139,-0.9742315941909155,-0.3763257350177556,0.06714641254713116,0.5335228405956353
2007-05-01,71.5,0.14,-0.38,-0.375459470005692,0.6150992355733006,-0.44866183630906364,0.28252713841302346,0.6376211939411169
2007-06-01,255.5,0.066,-0.47,1.8303191569914152,-0.10643746014787733,-0.5571659882460256,-1.0585240141892758,0.1074508519251625
2007-07-01,172.5,0.04,-0.56,0.8353211893785898,-0.359950353239102,-0.6656701401829878,-0.658779728697623,0.21122462273750073
2007-08-01,50.6,0.062,-0.81,-0.6260071510069939,-0.14543944370037348,-0.9670705622301045,0.07595762994736399,0.5379059427751561
2007-09-01,180.3,0.149,-1.07,0.9288270224795542,0.7028536985664167,-1.2805270011591057,-0.5096628019016732,0.2651587855521198
2007-10-01,156.0,0.207,-1.34,0.6375203885880882,1.2683824600776101,-1.6060394569699916,-0.25945334766475947,0.37310792040276813
2007-11-01,12.8,0.115,-1.5,-1.0791508037270519,0.37133683837019993,-1.7989357270801463,0.2911893079585566,0.6416145419794202
2007-12-01,22.8,-0.039,0.94,-0.9592715305206873,-1.1302395284009001,1.1427323920997123,0.36911038516001604,0.6766066652353556
2008-01-01,32.9,-0.01,-1.64,-0.8381934645822592,-0.8474751476453032,-1.9677199634265314,-0.22868980468776767,0.387607637141925
2008-02-01,39.6,-0.099,-1.52,-0.7578743515339948,-1.7152692816883415,-1.8230477608439155,-0.5002531609082881,0.2688418841057867
2008-03-01,53.6,-0.116,-1.29,-0.5900433690450845,-1.8810277117864498,-1.5457593725605683,-0.5784385035255064,0.23923521230003705
2008-04-01,44.8,0.032,-1.01,-0.6955371294666853,-0.4379543203440942,-1.2081908998677975,-0.025255911343445098,0.48737472860378916
2008-05-01,50.2,0.02,-0.84,-0.6308023219352484,-0.5549602710015825,-1.0032386128757582,-0.05173464290800217,0.4741557315975011
2008-06-01,124.4,-0.005,-0.61,0.2587018852559764,-0.7987226682046832,-0.725950224592411,-0.5141577880078754,0.2634107951844515
2008-07-01,119.1,0.105,-0.37,0.19516587045660308,0.2738318794889596,-0.43660581942717896,-0.10275453526704946,0.4488027941317799
2008-08-01,242.9,0.135,-0.23,1.6792712727513963,0.5663467561326805,-0.2678215830807936,-0.7232959261520527,0.19052663749528348
2008-09-01,143.7,0.29,-0.24,0.4900688825442598,2.0776736187919043,-0.27987759996267825,0.3222921243729057,0.6557889998449488
2008-10-01,127.7,0.212,-0.35,0.2982620454140767,1.3171349395182304,-0.4124937856634096,0.1635107020157488,0.5810344625584392
