agency_cd,site_no,station_nm,site_tp_cd,lat_va,long_va,dec_lat_va,dec_long_va,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,instruments_cd,construction_dt,inventory_dt,drain_area_va,contrib_drain_area_va,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no
USGS,254939080074001,S  - 160,GW,254939,0800740,25.82787478,-80.1275453,M,U,NAD27,NAD83,122,12,086,US,      S15 T53S  R42E  T,MIAMI,24000, 5.00,U, .1,NGVD29,03090202,21,L,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YYNNNNNN,,,,1000,,,459831200
USGS,254939080165301,F  - 269,GW,254939,0801653,25.82787515,-80.2811615,M,U,NAD27,NAD83,122,12,086,US,,,,,,,,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YYNNNNNN,,,,47.8,,,459832500
USGS,254939080170901,MIAMI DADE HIALEAH WTP SPIGOT,GW,254939.4,0801709.0,25.8276111,-80.2858333,G,S,NAD83,NAD83,122,12,086,US,,,,,,,,03090206,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,20091104,,,EST,Y,C,,N400BISCYN,112BSCNN,U,,,,
USGS,254940080115701,F  -  32,GW,254940,0801157,25.8281527,-80.1989367,M,U,NAD27,NAD83,122,12,086,US,      S   T     R,,,,,,,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YNNNNNNN,,,,70.1,,,459832500
USGS,254940080152801,G  -1353A,GW,254940,0801528,25.82815285,-80.2575497,M,U,NAD27,NAD83,122,12,086,US,      S   T     R,,,,,,,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,NYNYNNNN,N400BISCYN,112BSCNN,,,,,459832500
USGS,254940080172001,G  -1282,GW,254941.0,0801718.6,25.82805556,-80.2885,G,1,NAD83,NAD83,122,12,086,US,SWNWSWS18 T53S  R41E  T,,, 6.3,L, .1,NGVD29,03090202,21,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YYNYNYNN,N400BISCYN,112BSCNN,,84,,,2080-00200
USGS,254940080172002,G  -1283,GW,254940,0801720,25.82815294,-80.2886617,M,F,NAD27,NAD83,122,12,086,US,SWNWSWS18 T53S  R41E  T,,, 6.58,L,0.1,NGVD29,03090202,21,T,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YYNYNYNN,N400BISCYN,112BSCNN,,24,,,459832500
USGS,254940080172003,G  -3002A,GW,254940,0801720,25.82815294,-80.2886617,M,F,NAD27,NAD83,122,12,086,US,SWNWNWS18 T53S  R41E  T,,, 1.00,L,1.,NGVD29,03090202,21,C,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19720101,,,,EST,Y,C,YYNNNYNN,,,,12.5,,,459832500
USGS,254940080172004,G  -3002B,GW,254940,0801720,25.82815294,-80.2886617,M,F,NAD27,NAD83,122,12,086,US,SWNWNWS18 T53S  R41E  T,,, 1.00,L,1.,NGVD29,03090202,21,C,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19720101,,,,EST,Y,C,YYNNNYNN,,,,22,,,459832500
USGS,254940080172005,G  -3002C,GW,254940,0801720,25.82815294,-80.2886617,M,F,NAD27,NAD83,122,12,086,US,SWNWNWS18 T53S  R41E  T,,, 1.00,L,1.,NGVD29,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19720101,,,,EST,Y,C,YYNNNYNN,,,,32.5,,,459832500
USGS,254940080172006,G  -3002D,GW,254940,0801720,25.82815294,-80.2886617,M,F,NAD27,NAD83,122,12,086,US,SWNWNWS18 T53S  R41E  T,"HIALEAH, FL",  24000, 3,N,4.3,NAVD88,03090202,21,C,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19720101,,,,EST,Y,C,YYNYNYNN,,,,15,,,459832500
USGS,254940080172007,G  -3021,GW,254940,0801720,25.82815294,-80.2886617,M,F,NAD27,NAD83,122,12,086,US,SWNWNWS18 T53S  R41E  T,"HIALEAH, FL",  24000, 3,N,4.3,NAVD88,03090202,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19720101,,,,EST,Y,C,YYNYNYNN,,,,37.6,,,459832500
USGS,254941080171701,G  -3061,GW,254941,0801717,25.8284307,-80.2878283,M,U,NAD27,NAD83,122,12,086,US,      S18 T53S  R41E  T,HIALEAH,  24000, 8.40,U, .1,NGVD29,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YYNNNYNN,S400FLORDN,120FLRD,,1105,,,459831200
